Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
E:\2021RabbitIsland_SoundTrapData\5641\20210831_092945.wav,3/20/23 9:42,Other,Other,8/31/2021 10:03:19.1,8/31/2021 10:03:19.9,NA,NA,NA,NA,NA,NA,soundtrap deployment,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_092945.wav,3/20/23 9:43,Other,Other,8/31/2021 9:54:46.2,8/31/2021 9:54:47.3,NA,NA,NA,NA,NA,NA,in air timestamp,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_092945.wav,3/20/23 9:44,Anthro,Ship/Small Boat,8/31/2021 10:20:20.0,8/31/2021 10:22:25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_092945.wav,3/20/23 9:45,Anthro,Ship/Small Boat,8/31/2021 10:29:47.5,8/31/2021 10:36:18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_092945.wav,3/20/23 9:45,Anthro,Ship/Small Boat,8/31/2021 10:41:13.9,8/31/2021 10:41:56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_092945.wav,3/20/23 9:46,Anthro,Ship/Small Boat,8/31/2021 10:55:52.3,8/31/2021 10:57:06.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_092945.wav,3/20/23 9:54,Anthro,Airplane,8/31/2021 11:21:11.4,8/31/2021 11:21:19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_122944.wav,3/20/23 9:58,Anthro,Ship/Small Boat,8/31/2021 13:27:59.1,8/31/2021 13:30:46.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_152943.wav,3/20/23 10:06,Anthro,Ship/Small Boat,8/31/2021 17:23:00.4,8/31/2021 17:29:16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_152943.wav,3/20/23 10:08,Anthro,Airplane,8/31/2021 18:19:49.7,8/31/2021 18:19:59.3,NA,NA,NA,NA,NA,NA,Doppler Effect (DE),NA,NA,2021-08-31,21.326867,-157.661467,Day
E:\2021RabbitIsland_SoundTrapData\5641\20210831_182942.wav,3/20/23 10:13,Anthro,Airplane,8/31/2021 21:14:58.3,8/31/2021 21:15:05.2,NA,NA,NA,NA,NA,NA,DE,NA,NA,2021-08-31,21.326867,-157.661467,Night
