Location,Year,VocalType,DeltaTime,Dur90,Freq5,Freq25,CenterFreq,Freq75,Freq95,BW50,BW90,PeakFreq,AvgPower,PeakPower,AggEntropy,RMSAmp,SNRNIST,Harmonics,Whoops/Bout
FFS,2021,Growl,3.4815,2.8478,117.188,164.062,175.781,210.938,316.406,46.875,199.219,152.344,-100.26,-61.89,4.23,20.358,22.08,0,
FFS,2021,Growl,1.4827,0.5388,152.344,175.781,199.219,222.656,304.688,46.875,152.344,187.5,-90.9,-49.72,3.92,59.712,23.02,0,
FFS,2021,Whoop,0.1853,0.0513,187.5,246.094,281.25,328.125,445.312,82.031,257.812,269.531,-84.9,-51.18,4.583,120.84,25.72,0,1
FFS,2021,Whoop,0.1462,0.077,152.344,175.781,187.5,199.219,234.375,23.438,82.031,187.5,-93.01,-56.71,3.024,46.834,18.24,0,3
FFS,2021,Whoop,0.0819,0.0513,199.219,246.094,281.25,316.406,351.562,70.312,152.344,304.688,-84.42,-54.29,4.08,129.217,17.51,0,2
FFS,2021,Whoop,0.1884,0.0599,187.5,234.375,304.688,351.562,410.156,117.188,222.656,339.844,-90.21,-57.26,4.641,64.733,23.28,0,1
FFS,2021,Whoop,0.1084,0.0599,164.062,175.781,210.938,234.375,269.531,58.594,105.469,175.781,-93.79,-61.24,3.632,43.453,20.56,0,5
FFS,2021,Whoop,0.0764,0.0513,210.938,269.531,304.688,339.844,386.719,70.312,175.781,316.406,-94.5,-65.04,4.327,39.797,18.47,0,6
FFS,2021,Whoop,0.1086,0.0684,175.781,210.938,234.375,269.531,316.406,58.594,140.625,234.375,-95.55,-63.22,4.014,35.481,19.01,0,4
FFS,2021,Whoop,0.1023,0.0599,187.5,222.656,257.812,281.25,316.406,58.594,128.906,269.531,-98.36,-66.66,4.024,25.577,20.7,0,2
FFS,2021,Whoop,0.0649,0.0428,152.344,175.781,199.219,246.094,316.406,70.312,164.062,199.219,-90.44,-59.85,4.054,65.465,17.03,0,8
FFS,2021,Whoop,0.0799,0.0599,140.625,164.062,199.219,246.094,292.969,82.031,152.344,175.781,-99.42,-68.85,4.15,22.884,17.33,0,3
FFS,2021,Whoop,0.0783,0.0513,175.781,210.938,269.531,316.406,363.281,105.469,187.5,199.219,-90.55,-61.41,4.307,62.384,22.57,0,2
FFS,2021,Whoop,0.0821,0.0428,164.062,175.781,210.938,246.094,281.25,70.312,117.188,175.781,-94.48,-63.08,3.756,40.485,17.99,0,5
FFS,2021,Whoop,0.0457,0.0342,140.625,164.062,175.781,187.5,222.656,23.438,82.031,175.781,-99.52,-67.37,3.019,23.031,21.08,0,3
FFS,2021,Whoop,0.0828,0.0599,128.906,199.219,269.531,292.969,328.125,93.75,199.219,281.25,-101.66,-69.85,4.277,17.754,20.39,0,2
FFS,2021,Whoop,0.0766,0.0513,164.062,257.812,292.969,328.125,363.281,70.312,199.219,281.25,-96.01,-66.65,4.427,33.634,22.92,0,1
FFS,2021,Whoop,0.0571,0.0513,175.781,210.938,246.094,281.25,316.406,70.312,140.625,281.25,-100.58,-71.69,3.991,20.931,20.37,0,4
FFS,2021,Whoop,0.0546,0.0428,187.5,269.531,328.125,363.281,410.156,93.75,222.656,328.125,-96.9,-68.59,4.557,30.177,18.11,0,
FFS,2021,Whoop,0.0629,0.0513,164.062,187.5,222.656,257.812,292.969,70.312,128.906,246.094,-96.1,-66.41,3.826,34.644,17.3,0,5
FFS,2021,Whoop,0.0718,0.0599,152.344,246.094,292.969,316.406,375,70.312,222.656,292.969,-97.5,-67.76,4.578,29.285,22.2,0,8
FFS,2021,Whoop,0.1127,0.077,117.188,152.344,175.781,222.656,328.125,70.312,210.938,164.062,-103.01,-69.9,4.228,15.294,21.55,0,3
Kala,2023,Rumble,3.2517,2.8051,93.75,123.047,187.5,240.234,603.516,117.188,509.766,123.047,-104.76,-75.41,5.867,12.143,29.76,0,
Kala,2023,MoanGrowl,4.2978,3.934,70.312,93.75,316.406,398.438,568.359,304.688,498.047,76.172,-103.73,-66.46,6.298,13.673,28.69,0,
Kala,2023,Croak,0.3779,0.2737,70.312,146.484,328.125,363.281,562.5,216.797,492.188,339.844,-104.72,-75.5,6.126,12.127,28.69,0,
Kala,2023,Whoop,0.0999,0.0855,164.062,240.234,328.125,369.141,386.719,128.906,222.656,375,-102.83,-75.49,5.39,16.37,29.5,0,1
Kala,2023,Growl,2.6674,1.5394,99.609,205.078,281.25,310.547,421.875,105.469,322.266,304.688,-98.4,-60.24,5.662,25.224,28.21,0,
Kala,2023,Croak,0.4667,0.3079,105.469,240.234,304.688,339.844,380.859,99.609,275.391,304.688,-96.6,-62.98,5.36,31.046,26.12,0,
Kala,2023,GrowlRumbleWhoop,5.2054,4.4642,76.172,181.641,275.391,310.547,445.312,128.906,369.141,111.328,-100.19,-66.72,5.991,20.537,28.78,0,4
Kala,2023,Whoop,0.2341,0.1368,158.203,240.234,269.531,292.969,328.125,52.734,169.922,287.109,-97.95,-67.9,5.071,26.298,28.11,0,4
Kala,2023,Whoop,0.1858,0.1197,210.938,263.672,287.109,298.828,369.141,35.156,158.203,292.969,-102.22,-70.94,4.764,16.421,32.07,0,4
Kala,2023,Whoop,0.1755,0.1197,158.203,263.672,287.109,298.828,421.875,35.156,263.672,298.828,-105.47,-74.93,4.926,11.618,29.44,0,4
Kala,2023,Whoop,0.2253,0.1881,87.891,287.109,304.688,421.875,492.188,134.766,404.297,304.688,-107,-76.72,5.62,9.436,30.67,0,4
Kala,2023,Whoop,0.3638,0.3079,5.859,134.766,210.938,369.141,837.891,234.375,832.031,222.656,-111.7,-83.99,6.571,5.562,30.23,0,4
Kala,2023,Whoop,0.2399,0.1881,0,128.906,164.062,339.844,849.609,210.938,849.609,0,-111.65,-82.56,5.93,5.47,32.3,0,4
Kala,2023,Croak,0.6237,0.4276,216.797,281.25,328.125,351.562,574.219,70.312,357.422,339.844,-98.19,-65.6,5.515,26.061,27.02,0,
Kala,2023,Growl,0.8756,0.5644,222.656,281.25,316.406,345.703,474.609,64.453,251.953,328.125,-98.51,-64.09,5.361,25.1,28.45,0,
Kala,2023,Growl,4.2635,3.7116,199.219,275.391,310.547,333.984,515.625,58.594,316.406,298.828,-101.64,-67.38,5.52,17.398,29.15,0,
Kala,2023,Whoop,0.1408,0.0855,216.797,263.672,287.109,304.688,369.141,41.016,152.344,298.828,-100.87,-72.42,4.726,18.93,28.78,0,3
Kala,2023,Whoop,0.1265,0.0855,240.234,269.531,298.828,339.844,375,70.312,134.766,269.531,-103.39,-76.3,4.948,14.186,30.47,0,
Kala,2023,Whoop,0.1079,0.0855,0,269.531,298.828,322.266,750,52.734,750,304.688,-108.07,-81.24,5.306,8.394,31.05,0,3
LR,2021,MoanGrowl,4.703,4.0964,58.594,58.594,70.312,82.031,269.531,23.438,210.938,70.312,-89.2,-47.78,2.929,72.756,16.73,2,
LR,2021,MoanGrowl,1.8997,1.719,70.312,246.094,269.531,339.844,457.031,93.75,386.719,70.312,-91.87,-55.23,4.704,53.508,17.95,2,
LR,2021,MoanWhoop,0.7998,0.4105,46.875,82.031,117.188,234.375,328.125,152.344,281.25,269.531,-95.33,-58.48,4.559,36.019,20.26,3,1
